ï»¿userName,content,at,score
Siti Aisah,oke,29/01/2024 04:35,5
Rauqan R.r,"Jangan percaya mini games panjat kuota, mini games scam untuk kita liat iklan aja",17/01/2024 17:32,1
Era Fone,"tolong dong sinyal nya benerin,gangguan Mulu nih aneh",26/01/2024 12:49,1
Burhanudin,Wow keren bisa beli kuota lewat WhatsApp ??,14/01/2024 14:11,4
Rudi,bisa masuk dulu aku download nggak bisa masuk downloadnya ya agak lama sih,26/01/2024 15:28,5
Sanjaya 123,"Saya sebagai pengguna lama kecewa dengan im3 sekarang,awal nya sebelum isi pulsa promonya sangat Murah eehh selesai isi pulsa promonya drastis naik bgt",14/01/2024 04:20,1
Epi Ana,sangat bagus,28/01/2024 14:09,5
Ibnu Noorfadila,Indosat tolol,13/01/2024 03:53,1
Tegar Triyo Mustika Dani,"saya sangat kecewa denga Indosat sekarang,Ter khusus pasar saat melakukan pembayaran lewat dompet digital, selalu ada bug",19/01/2024 12:26,1
Miswati Wati,foto Saya w,26/01/2024 19:13,5
Puji Indrawan,aplikasiy bagus,25/01/2024 17:26,5
Arca Sena,baik,31/01/2024 19:43,5
Sensor Kabeh,"paraaah,banget cuma.gara2 update poin udah 30.000 an hilang,jadi ngulang dr awal parah bnget sampah,udah kuota tambah mahal...mending beli lewat #123* beda 8k ,,bnyak bnget selisihnya,...ga masalah ga dpt poin,percuma cape2 ngumpulin malah hilang poin nya????????????????????????????????????????????????????????????????",27/01/2024 09:53,1
Rey Rombe,Kalau ga niat masang jaringan internet di bahodopi sulawesi tengah mending skalian ga usah pasah payah lemot ??,21/01/2024 17:28,1
Abang Tampan,bagus tapi kurang memuaskan,17/01/2024 15:22,5
Imam Syafaa,"kouta disaya mahal"" , sedngkan di hp teman saya kartu m3 murh"" bngt",11/01/2024 02:07,2
Lip Enjoy,Apk nya mantap,26/01/2024 11:54,5
Rofi 999,ok,14/01/2024 16:18,4
Remaja Mushola,ok bnget,17/01/2024 05:58,5
Yo Osop,Ini kenapa lagii sihh makin lama makin ga jelas Indosat,26/01/2024 13:20,1
Vtaee Min,"Kenapa sekarang apps nya berat si, mana kalau gak ada kuota tidak bisa di buka apps nya padahal dulu bisa. Kecewa si:(",24/01/2024 04:18,1
Wandi Danuarta,tambah rusak nih kata nya setiap isi pulsa dapat koata penipuan,13/01/2024 11:29,1
Panji Setiawan,ok,22/01/2024 13:06,5
M Kelvin,Lila anjing,24/01/2024 13:27,1
Rudi Apriliyanto,Bagusan tampilan apk yang lama lebih detail,28/01/2024 06:42,1
Kobel Ulai,Bagus,18/01/2024 16:57,5
BANG NAN'D,"Wkwkwk ini operator yg paling terlelet Di Indonesia yg paling gue alami pake.. Ga di kota ga di kampung jaringannya parah bangett Cuma operator ini doang yg paling terlelet . Murah sih kuota internet nya,tapi sia kaga guna ???????? Mending operator Indosat ga ada di Indonesia kalo kata gue mah,,, Ga guna ini",19/01/2024 18:47,1
Lilik Cakep,Sinyal jelek dimanaÂ² jelek. Geser dikit hilang sinyal. Pindah tempat hilang sinyal. Apa lagi waktu hujan atau mati lampu. Pasti putus tuh sinyal. Mau sampe kapan kayak gini terus. Sebagai pengguna lama saya terasa sangat dan sangat kecewa dengan layanan anda berikan kepada konsumen yang membuat perusahaan ada semakin besar. Tapi kualitas layanan yang anda berikan nol besar.,28/01/2024 14:34,1
Abdul Tuanaya,Kapan 5G hadir,26/01/2024 22:30,5
Angga Andika,Apakah down lagi Indosat?? luar biasa 11 Januari 2024,11/01/2024 04:44,1
