userName;content;score;at
Nurul Aini;klo gk ada data nya gk bisa di buka;2;31/01/2024 23:56
Salsa Bila;bagus;5;31/01/2024 23:50
JebolGamingYT;Aku beli pulsa. Beli paket data. Di proses terus lama.. Sudah 1 jam. Biasaya cepet. Kok ini lama.. Segeraaa;1;31/01/2024 23:42
AREK BERBEK 1H;"Apa""an sekarang im3 error bkin ribet.pas beli kartu perdana baru tapi disuruh beli pulsa.hbis beli pulsa harus ada registrasi dulu. Registrasi di WA harus ada kode otp dulu di SMS. Tapi g ada notifnya. Sumpah apaan. Pusing";1;31/01/2024 23:38
Gian Dewi;good;5;31/01/2024 23:34
Nurhafid Nur;cukup baik buat di area berbess;5;31/01/2024 23:34
Denik Rahayu;bagus;5;31/01/2024 23:30
Laya Nurunisha;bgusss;4;31/01/2024 23:25
Yuda Hardi;baik sekali;5;31/01/2024 23:23
Sania Attaya;memudahkan semuanya;5;31/01/2024 23:05
Dol Ham;Provider ampas, paket makin mahal koneksi makin sulit. Promo diganti2 ga jls;1;31/01/2024 23:01
sluccys;Bonus gabisa dipake,sama aja gada perubahan;1;31/01/2024 22:57
Rafli Nugraha;Bagus sekali;5;31/01/2024 22:53
Tika Ayunda;indosat mantap;5;31/01/2024 22:50
Muh Ibrahim;terbaik poko na kalian harus donload ini;5;31/01/2024 22:42
Yopi Slmiring;Coba lahh;4;31/01/2024 22:40
Bob boby;ok;5;31/01/2024 22:40
Nyimas Oktarina;tolong diperbaiki transferan pulsa nomor baru bisa langsung buat TF;1;31/01/2024 22:32
Ahmad Riadi;sangat oke;5;31/01/2024 22:28
Aprenchis Hutabarat;ok lh;4;31/01/2024 22:27
Daeng Aco;??;5;31/01/2024 22:23
Agin Aulia;mantap;5;31/01/2024 22:12
langusern onin;Kenapa aku ngisi kode rendemnya nga kuotanya yah tolong lah perbaiki aplikasinya;1;31/01/2024 22:06
Apri yana;Pulsa nya sering ke potong trus kalau bisa mah pake kunci pulsa biar aman biar gak ke sedot trus pulsa;1;31/01/2024 21:43
Tarjo Sutarjo;Kaga pernah di perbaiki nih singal lemot niat gk sih bikin kartu buang buang duit gw mulu buat beli kouta;1;31/01/2024 21:38
